barcode,name,image
6111266963207,كيفير,https://images.openfoodfacts.org/images/products/611/126/696/3207/front_en.42.400.jpg
3161711001971,فروماج دي فرانس,https://images.openfoodfacts.org/images/products/316/171/100/1971/front_en.152.400.jpg
5053990101597,كريمة حامضة وبصل,https://images.openfoodfacts.org/images/products/505/399/010/1597/front_en.55.400.jpg
90162602,مشروب الطاقة,https://images.openfoodfacts.org/images/products/000/009/016/2602/front_en.134.400.jpg
6111246722176,6111246722176,https://images.openfoodfacts.org/images/products/611/124/672/2176/front_ar.9.400.jpg
7613031370641,ليون كراميل وشوكولاتة,https://images.openfoodfacts.org/images/products/761/303/137/0641/front_en.69.400.jpg
6221007032700,سيريلاك,https://images.openfoodfacts.org/images/products/622/100/703/2700/front_en.4.400.jpg
5900617034809,بار فيتامين جوز الهند,https://images.openfoodfacts.org/images/products/590/061/703/4809/front_en.9.400.jpg
6111250478182,,
7622201694869,قاعات الكرز,https://images.openfoodfacts.org/images/products/762/220/169/4869/front_en.27.400.jpg
6111249911331,,https://images.openfoodfacts.org/images/products/611/124/991/1331/front_ar.10.400.jpg
8595229910633,رقائق الشوفان بأوراق صغيرة,https://images.openfoodfacts.org/images/products/859/522/991/0633/front_en.99.400.jpg
7622201118617,ترايدنت فراولة,https://images.openfoodfacts.org/images/products/762/220/111/8617/front_en.17.400.jpg
6111273680005,,https://images.openfoodfacts.org/images/products/611/127/368/0005/front_ar.3.400.jpg
7622201702793,ترايدنت نكهة التوت المختلطمەیسەر,https://images.openfoodfacts.org/images/products/762/220/170/2793/front_en.12.400.jpg
8402001032592,كاكاو أون بولفو,https://images.openfoodfacts.org/images/products/840/200/103/2592/front_es.6.400.jpg
6221033177239,مايونيز,https://images.openfoodfacts.org/images/products/622/103/317/7239/front_en.4.400.jpg
6221031497933,شيبس ليز سافور بالفلفل الحار والسترون,https://images.openfoodfacts.org/images/products/622/103/149/7933/front_en.39.400.jpg
6221031492464,دوريتوس,https://images.openfoodfacts.org/images/products/622/103/149/2464/front_en.3.400.jpg
6111242881631,,https://images.openfoodfacts.org/images/products/611/124/288/1631/front_ar.6.400.jpg
6223001056331,,
6223001878001,حليب,https://images.openfoodfacts.org/images/products/622/300/187/8001/front_en.5.400.jpg
6111232004545,شوكو مان,https://images.openfoodfacts.org/images/products/611/123/200/4545/front_ar.4.400.jpg
6221031492051,دوريتوس جبنة الناتشو,https://images.openfoodfacts.org/images/products/622/103/149/2051/front_en.21.400.jpg
6221033101289,كاتشب,https://images.openfoodfacts.org/images/products/622/103/310/1289/front_fr.5.400.jpg
6294003539153,,https://images.openfoodfacts.org/images/products/629/400/353/9153/front_en.6.400.jpg
8901393020564,انابيب,https://images.openfoodfacts.org/images/products/890/139/302/0564/front_ar.7.400.jpg
6111046002461,,https://images.openfoodfacts.org/images/products/611/104/600/2461/front_ar.9.400.jpg
6111246721933,,
6221031490309,شيبس,https://images.openfoodfacts.org/images/products/622/103/149/0309/front_en.18.400.jpg
6111249192693,,
